Ac	-	89
Al	26.9815	13
Am	-	95
Sb	121.75	51
Ar	39.948	18
As	74.9216	33
At	-	85
Ba	137.34	56
Bk	-	97
Be	9.0122	4
Bi	208.98	83
B	10.811	5
Br	79.904	35
Cd	112.40	48
Cs	132.905	55
Ca	40.08	20
Cf	-	98
C	12.011	6
Ce	140.12	58
Cl	35.453	17
Cr	51.996	24
Co	58.9332	27
Cu	63.546	29
Cm	-	96
Dy	162.5	66
Es	-	99
Er	167.26	68
Eu	151.96	63
Fm	-	100
F	18.9984	9
Fr	-	87
Gd	157.25	64
Ga	69.72	31
Ge	72.59	32
Au	196.967	79
Hf	178.49	72
He	4.0026	2
Ho	164.930	67
H	1.00797	1
In	114.82	49
I	126.9044	53
Ir	192.2	77
Fe	55.847	26
Kr	83.80	36
La	138.91	57	
Lr	-	103
Pb	207.19	82
Li	6.939	3
Lu	174.97	71
Mg	24.312	12
Mn	54.938	25
Md	-	101
Hg	200.59	80
Mo	95.94	42
Nd	144.24	60
Ne	20.183	10
Np	-	93
Ni	58.71	28
Nb	92.906	41
N	14.0067	7
No	-	102
Os	190.2	76
O	15.9994	8
Pd	106.4	46
P	30.9738	15
Pt	195.09	78
Pu	-	94
Po	-	84
K	39.102	19
Pr	140.907	59
Pm	-	61
Pa	-	91
Ra	-	88
Rn	-	86
Re	186.2	75
Rh	102.905	45
Rb	85.47	37
Ru	101.07	44
Sm	150.35	62
Sc	44.956	21
Se	78.96	34
Si	28.086	14
Ag	107.868	47
Na	22.9898	11
Sr	87.62	38
S	32.064	16
Ta	180.948	73
Tc	-	43
Te	127.60	52
Tb	158.924	65
Tl	204.37	81
Th	232.038	90
Tm	168.934	69
Sn	118.69	50
Ti	47.90	22
W	183.85	74
U	238.03	92
V	50.942	23
Xe	131.30	54
Yb	173.04	70
Y	88.905	39
Zn	65.37	30
Zr	91.22	40	
